Region,VM SKU,Emissions per month(kg),1 vm emissions,2 vm emissions,3 vm emissions,Workload Units = 3,Workload Units = 5,1 aks node emissions,2 aks nodes emissions,3 aks nodes emissions,AKS Workload Units = 3,AKS Workload Units = 5
US West,E2s v4,4.9264903198015695,4.9264903198015695,9.852980639603139,14.779470959404708,14.779470959404708,24.632451599007847,8.21168904863562,13.13817936843719,18.06466968823876,10.674934208536403,15.601424528337972
US West,F2s v2,4.251073507588235,4.251073507588235,8.50214701517647,12.753220522764707,12.753220522764707,21.255367537941176,7.536272236422285,11.78734574401052,16.038419251598757,9.661808990216404,13.912882497804638
US West,D3 v2/DS3 v2,10.329824817508296,10.329824817508296,20.659649635016592,30.989474452524888,30.989474452524888,51.64912408754148,13.615023546342346,23.944848363850642,34.274673181358935,18.779935955096494,29.10976077260479
US West,D2 v2/DS2 v2,3.0988918867537127,3.0988918867537127,6.1977837735074255,9.296675660261139,9.296675660261139,15.494459433768563,6.384090615587763,9.482982502341475,12.581874389095187,7.933536558964619,11.032428445718331
US East,E2s v4,5.250952148909954,5.250952148909954,10.501904297819909,15.752856446729863,15.752856446729863,26.25476074454977,8.536150877744003,13.78710302665396,19.038055175563912,11.161626952198981,16.412579101108935
US East,F2s v2,2.2453588639846584,2.2453588639846584,4.490717727969317,6.736076591953975,6.736076591953975,11.226794319923293,5.530557592818708,7.775916456803366,10.021275320788025,6.6532370248110375,8.898595888795697
US East,D3 v2/DS3 v2,6.940753471019389,6.940753471019389,13.881506942038778,20.822260413058167,20.822260413058167,34.70376735509694,10.225952199853438,17.166705670872826,24.107459141892218,13.696328935363134,20.637082406382522
US East,D2 v2/DS2 v2,6.016995414932896,6.016995414932896,12.033990829865791,18.050986244798686,18.050986244798686,30.08497707466448,9.302194143766945,15.31918955869984,21.336184973632736,12.310691851233393,18.32768726616629
EU North,E2s v4,3.658375008011535,3.658375008011535,7.31675001602307,10.975125024034604,10.975125024034604,18.291875040057676,6.943573736845584,10.601948744857118,14.260323752868654,8.772761240851352,12.431136248862888
EU North,F2s v2,2.601541023996657,2.601541023996657,5.203082047993314,7.804623071989972,7.804623071989972,13.007705119983285,5.886739752830707,8.488280776827363,11.089821800824021,7.187510264829035,9.789051288825693
EU North,D3 v2/DS3 v2,6.523569364674107,6.523569364674107,13.047138729348214,19.570708094022322,19.570708094022322,32.617846823370535,9.808768093508156,16.332337458182263,22.855906822856372,13.070552775845211,19.594122140519318
EU North,D2 v2/DS2 v2,5.795528175686075,5.795528175686075,11.59105635137215,17.386584527058226,17.386584527058226,28.97764087843037,9.080726904520123,14.8762550802062,20.671783255892276,11.978490992363163,17.774019168049236
EU West,E2s v4,5.626828478447745,5.626828478447745,11.25365695689549,16.880485435343235,16.880485435343235,28.134142392238726,8.912027207281795,14.53885568572954,20.165684164177286,11.725441446505666,17.35226992495341
EU West,F2s v2,2.437240130172429,2.437240130172429,4.874480260344858,7.311720390517287,7.311720390517287,12.186200650862144,5.722438859006479,8.159678989178907,10.596919119351337,6.941058924092693,9.37829905426512
EU West,D3 v2/DS3 v2,6.2343691162144745,6.2343691162144745,12.468738232428949,18.703107348643425,18.703107348643425,31.171845581072372,9.519567845048524,15.753936961262998,21.988306077477475,12.63675240315576,18.871121519370234
EU West,D2 v2/DS2 v2,6.104181836693031,6.104181836693031,12.208363673386062,18.312545510079094,18.312545510079094,30.520909183465154,9.38938056552708,15.49356240222011,21.597744238913144,12.441471483873595,18.545653320566625
AU East,E2s v4,6.898782687400419,6.898782687400419,13.797565374800838,20.696348062201256,20.696348062201256,34.49391343700209,10.183981416234468,17.082764103634887,23.981546791035306,13.633372759934677,20.532155447335096
AU East,F2s v2,5.845072717548771,5.845072717548771,11.690145435097541,17.535218152646312,17.535218152646312,29.225363587743853,9.130271446382821,14.975344163931592,20.820416881480362,12.052807805157205,17.897880522705975
AU East,D3 v2/DS3 v2,15.302119696967235,15.302119696967235,30.60423939393447,45.9063590909017,45.9063590909017,76.51059848483618,18.587318425801286,33.88943812276852,49.19155781973575,26.2383782742849,41.54049797125214
AU East,D2 v2/DS2 v2,7.899807158759507,7.899807158759507,15.799614317519014,23.69942147627852,23.69942147627852,39.49903579379753,11.185005887593556,19.084813046353062,26.98462020511257,15.134909466973308,23.034716625732816
AU Central,E2s v4,12.876804464997477,12.876804464997477,25.753608929994954,38.63041339499243,38.63041339499243,64.38402232498738,16.162003193831527,29.038807658829004,41.91561212382648,22.600405426330266,35.47720989132774
AU Central,F2s v2,16.91207568628757,16.91207568628757,33.82415137257514,50.73622705886271,50.73622705886271,84.56037843143784,20.19727441512162,37.109350101409184,54.02142578769676,28.653312258265405,45.56538794455297
AU Central,D3 v2/DS3 v2,27.23305784843326,27.23305784843326,54.46611569686652,81.69917354529977,81.69917354529977,136.1652892421663,30.51825657726731,57.75131442570056,84.98437227413382,44.13478550148393,71.3678433499172
AU Central,D2 v2/DS2 v2,22.964982518222563,22.964982518222563,45.929965036445125,68.89494755466768,68.89494755466768,114.82491259111282,26.250181247056613,49.21516376527917,72.18014628350173,37.73267250616789,60.69765502439046
